r                        V(r)
8.208208208208208623e-01 4.067416277146536686e+03
8.258258258258258655e-01 3.664849144173687819e+03
8.308308308308308687e-01 3.301218885023364237e+03
8.358358358358358720e-01 2.972794312276437722e+03
8.408408408408408752e-01 2.676200607083127579e+03
8.458458458458458784e-01 2.408385306035425401e+03
8.508508508508508816e-01 2.166587536326703230e+03
8.558558558558558849e-01 1.948310188539736373e+03
8.608608608608608881e-01 1.751294746180051106e+03
8.658658658658658913e-01 1.573498517984457294e+03
8.708708708708708945e-01 1.413074043361143595e+03
8.758758758758758978e-01 1.268350463307527434e+03
8.808808808808809010e-01 1.137816669030487901e+03
8.858858858858859042e-01 1.020106058464143871e+03
8.908908908908909074e-01 9.139827471268299632e+02
8.958958958958959107e-01 8.183290944472647652e+02
9.009009009009009139e-01 7.321344199701020443e+02
9.059059059059059171e-01 6.544847958584963408e+02
9.109109109109109204e-01 5.845538129683435500e+02
9.159159159159159236e-01 5.215942275860491009e+02
9.209209209209209268e-01 4.649304047988525213e+02
9.259259259259259300e-01 4.139514824941825282e+02
9.309309309309309333e-01 3.681051872437462293e+02
9.359359359359359365e-01 3.268922398927927588e+02
9.409409409409409397e-01 2.898612946118024070e+02
9.459459459459459429e-01 2.566043605369629290e+02
9.509509509509509462e-01 2.267526599815833777e+02
9.559559559559559494e-01 1.999728815922575791e+02
9.609609609609609526e-01 1.759637907955613798e+02
9.659659659659659559e-01 1.544531634735435262e+02
9.709709709709709591e-01 1.351950120555674175e+02
9.759759759759759623e-01 1.179670761530251610e+02
9.809809809809809655e-01 1.025685525217604379e+02
9.859859859859859688e-01 8.881804154155327069e+01
9.909909909909909720e-01 7.655168957699805787e+01
9.959959959959959752e-01 6.562150855149923245e+01
1.001001001001001089e+00 5.589385584575263266e+01
1.006006006006006093e+00 4.724805924192078521e+01
1.011011011011011096e+00 3.957517309096287050e+01
1.016016016016016099e+00 3.277685319793404517e+01
1.021021021021021102e+00 2.676433911176406255e+01
1.026026026026026106e+00 2.145753358408653355e+01
1.031031031031031109e+00 1.678416993695036297e+01
1.036036036036036112e+00 1.267905896152387157e+01
1.041041041041041115e+00 9.083407768072852662e+00
1.046046046046046119e+00 5.944203729583035667e+00
1.051051051051051122e+00 3.213657314663480591e+00
1.056056056056056125e+00 8.486981963782118665e-01
